customer_term,matched_product_code,matched_product_name,confidence_score,reasoning,match_type,timestamp,source_files
"KOMPOSIITTIPUTKI 63x4,0 5m",1750006,KOMPOSIITTIPUTKI VALK 5M 63X6 TIGRIS PE-XC,0.8,"Type, diameter, and length (5m) match. Wall thickness differs (4.0 vs 6).",approximate,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
"KOMPOSIITTIPUTKI 50x4,0 5m",1750005,KOMPOSIITTIPUTKI VALK 5M 50X4.5 TIGRIS PE-XC,0.9,"Type, diameter, and length (5m) match. Wall thickness is very close (4.0 vs 4.5).",approximate,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
"KOMPOSIITTIPUTKI 40x3,5 5m",1750004,KOMPOSIITTIPUTKI VALK 5M 40X4 TIGRIS PE-XC,0.9,"Type, diameter, and length (5m) match. Wall thickness is very close (3.5 vs 4).",approximate,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
"KOMPOSIITTIPUTKI 32x3,0 5m",1726093,"KOMPOSIITTIPUTKI 3M 32X3,0 ONEPIPE",0.85,"Type, diameter, and wall thickness match. Length differs (5m requested, 3m offered).",approximate,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
"KOMPOSIITTIPUTKI 26x3,0 5m",1726092,"KOMPOSIITTIPUTKI 3M 25X2,5 ONEPIPE",0.7,"Type matches. Diameter (26 vs 25), wall thickness (3.0 vs 2.5), and length (5m vs 3m) are different. This is the closest available substitute.",substitute,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
"KOMPOSIITTIPUTKI 20x2,0 5m",1726091,"KOMPOSIITTIPUTKI 3M 20X2,25 ONEPIPE",0.8,Type and diameter match. Wall thickness (2.0 vs 2.25) and length (5m vs 3m) are different.,approximate,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
"KOMPOSIITTIPUTKI 16x2,0 5m",1726090,KOMPOSIITTIPUTKI 3M 16X2 ONEPIPE,0.85,"Type, diameter, and wall thickness match. Length differs (5m requested, 3m offered).",approximate,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO KULMALIITIN 90 63x63 PPSU,1750021,PURISTUSKULMA K1 90°  63 TIGRIS PPSU,0.95,Customer's 'KOMPO KULMALIITIN 90' is equivalent to 'PURISTUSKULMA 90°'. Diameter and material (PPSU) match.,equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO KULMALIITIN 90 50x50 PPSU,1750020,PURISTUSKULMA K1 90°  50 TIGRIS PPSU,0.95,"Equivalent terms, diameter and material (PPSU) match.",equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO KULMALIITIN 90 40x40 PPSU,1750258,PURISTUSKULMA K5 40  90° TIGRIS PPSU,0.95,"Equivalent terms, diameter and material (PPSU) match.",equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
